,0
 Destination Port,0.05377636478497031
Init_Win_bytes_forward,0.05113985469148121
 Flow IAT Max,0.04219037414419072
Flow Bytes/s,0.0367495459584081
 Init_Win_bytes_backward,0.035311889267708035
 Flow Duration,0.03336279046608275
Fwd Packets/s,0.03263460321748347
 Fwd Packet Length Mean,0.03214405514822609
 Flow Packets/s,0.030801512071606644
 Bwd Packets/s,0.030546754148724944
 Flow IAT Mean,0.02985482148314094
 Fwd Packet Length Max,0.027607729478138943
 Packet Length Std,0.026804388809261538
 Flow IAT Std,0.024947259591605472
 Fwd IAT Max,0.022952393716649352
 Avg Fwd Segment Size,0.021797466806253094
 Average Packet Size,0.020644289163352657
 Flow IAT Min,0.019592135962547896
 Packet Length Mean,0.019309140325073176
 Max Packet Length,0.0191953673365983
 Packet Length Variance,0.019181571099734347
 Bwd IAT Max,0.018769538348306847
 Subflow Fwd Bytes,0.018625270024721485
Total Length of Fwd Packets,0.018274891936664494
Fwd IAT Total,0.0171351884999558
 Avg Bwd Segment Size,0.016171931332018438
 Bwd Packet Length Mean,0.01602638040470162
 Subflow Bwd Bytes,0.015518318860195966
 Fwd IAT Mean,0.013445061013606865
 Fwd IAT Min,0.013199955467103973
 Idle Max,0.012342905065442517
 Total Length of Bwd Packets,0.012338969833297327
Bwd Packet Length Max,0.01219421755482156
 Bwd Header Length,0.012166488387931886
Bwd IAT Total,0.01167986925453655
 Fwd Header Length,0.011507915854422466
 Fwd IAT Std,0.010633897207251313
 PSH Flag Count,0.009565385179793377
 Fwd Header Length.1,0.009551907487329852
 Bwd IAT Mean,0.008566219484670078
 Bwd Packet Length Min,0.008447090833113718
 Fwd Packet Length Min,0.008316901715454869
 min_seg_size_forward,0.00805583787666177
 ACK Flag Count,0.007037731868437729
 Bwd Packet Length Std,0.00660949721983779
 Bwd IAT Min,0.006404979967068495
 Min Packet Length,0.006349283115998527
Idle Mean,0.005710449406416181
 Fwd Packet Length Std,0.0056358902882463705
Subflow Fwd Packets,0.005631366011602111
 Total Fwd Packets,0.005567124620169558
 act_data_pkt_fwd,0.005228678320859991
 Bwd IAT Std,0.004645715636176186
 Total Backward Packets,0.004504029470154564
 Idle Min,0.004500145519959879
 Down/Up Ratio,0.003145341498758702
 Subflow Bwd Packets,0.0029306060990320513
 Active Max,0.0026235775765923834
 URG Flag Count,0.0025536059044431935
 Active Min,0.0025149696586328272
Active Mean,0.0020906090764899986
 Idle Std,0.0016748214187187105
 Active Std,0.000889579249950316
FIN Flag Count,0.00039168428942457903
 SYN Flag Count,0.0001552688649688452
Fwd PSH Flags,0.00011980321996860834
 ECE Flag Count,4.181275468431156e-06
 RST Flag Count,2.6111293832139028e-06
 Bwd Avg Bytes/Bulk,0.0
 Bwd Avg Packets/Bulk,0.0
 Fwd URG Flags,0.0
 Fwd Avg Packets/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 Bwd URG Flags,0.0
 Bwd PSH Flags,0.0
 CWE Flag Count,0.0
Bwd Avg Bulk Rate,0.0
Fwd Avg Bytes/Bulk,0.0
